宁夏2025年新高考一分一段表
格式说明：每列两子列 = 分数段（如"616分以上"）+ 累计人数（即位次）
选科对应：普通历史=历史类，普通物理=物理类，体育历史=体育历史类，体育物理=体育物理类

--- 普通历史 ---
--- 普通物理 ---
--- 体育历史 ---
--- 体育物理 ---
普通历史: 556分以上分, 位次701 | 普通物理: 582分以上分, 位次1133 | 体育历史: 498分以上分, 位次202 | 体育物理: 511分以上分, 位次220
普通历史: 555分以上分, 位次731 | 普通物理: 581分以上分, 位次1181 | 体育历史: 497分以上分, 位次201 | 体育物理: 510分以上分, 位次224
普通历史: 554分以上分, 位次751 | 普通物理: 580分以上分, 位次1217 | 体育历史: 496分以上分, 位次211 | 体育物理: 509分以上分, 位次231
普通历史: 553分以上分, 位次777 | 普通物理: 579分以上分, 位次1262 | 体育历史: 495分以上分, 位次213 | 体育物理: 508分以上分, 位次235
普通历史: 552分以上分, 位次797 | 普通物理: 578分以上分, 位次1303 | 体育历史: 494分以上分, 位次214 | 体育物理: 507分以上分, 位次239
普通历史: 551分以上分, 位次823 | 普通物理: 577分以上分, 位次1351 | 体育历史: 493分以上分, 位次220 | 体育物理: 506分以上分, 位次247
普通历史: 550分以上分, 位次842 | 普通物理: 576分以上分, 位次1394 | 体育历史: 492分以上分, 位次223 | 体育物理: 505分以上分, 位次252
普通历史: 549分以上分, 位次867 | 普通物理: 575分以上分, 位次1436 | 体育历史: 491分以上分, 位次229 | 体育物理: 504分以上分, 位次256
普通历史: 548分以上分, 位次888 | 普通物理: 574分以上分, 位次1472 | 体育历史: 490分以上分, 位次233 | 体育物理: 503分以上分, 位次270
普通历史: 547分以上分, 位次916 | 普通物理: 573分以上分, 位次1513 | 体育历史: 489分以上分, 位次237 | 体育物理: 502分以上分, 位次262
普通历史: 546分以上分, 位次916 | 普通物理: 572分以上分, 位次1563 | 体育历史: 488分以上分, 位次240 | 体育物理: 501分以上分, 位次278
普通历史: 545分以上分, 位次940 | 普通物理: 571分以上分, 位次1612 | 体育历史: 487分以上分, 位次243 | 体育物理: 500分以上分, 位次285
普通历史: 544分以上分, 位次985 | 普通物理: 570分以上分, 位次1656 | 体育历史: 486分以上分, 位次247 | 体育物理: 499分以上分, 位次295
普通历史: 543分以上分, 位次999 | 普通物理: 569分以上分, 位次1714 | 体育历史: 485分以上分, 位次250 | 体育物理: 498分以上分, 位次304
普通历史: 542分以上分, 位次1039 | 普通物理: 568分以上分, 位次1754 | 体育历史: 484分以上分, 位次255 | 体育物理: 497分以上分, 位次312
普通历史: 541分以上分, 位次1069 | 普通物理: 567分以上分, 位次1794 | 体育历史: 483分以上分, 位次259 | 体育物理: 496分以上分, 位次320
普通历史: 540分以上分, 位次1099 | 普通物理: 566分以上分, 位次1835 | 体育历史: 482分以上分, 位次264 | 体育物理: 495分以上分, 位次323
普通历史: 539分以上分, 位次1127 | 普通物理: 565分以上分, 位次1887 | 体育历史: 481分以上分, 位次269 | 体育物理: 494分以上分, 位次331
普通历史: 538分以上分, 位次1156 | 普通物理: 564分以上分, 位次1933 | 体育历史: 480分以上分, 位次272 | 体育物理: 493分以上分, 位次332
普通历史: 537分以上分, 位次1181 | 普通物理: 563分以上分, 位次1994 | 体育历史: 479分以上分, 位次281 | 体育物理: 492分以上分, 位次338
普通历史: 536分以上分, 位次1215 | 普通物理: 562分以上分, 位次2038 | 体育历史: 478分以上分, 位次287 | 体育物理: 491分以上分, 位次348
普通历史: 535分以上分, 位次1238 | 普通物理: 561分以上分, 位次2091 | 体育历史: 477分以上分, 位次290 | 体育物理: 490分以上分, 位次351
普通历史: 534分以上分, 位次1264 | 普通物理: 560分以上分, 位次2152 | 体育历史: 476分以上分, 位次298 | 体育物理: 489分以上分, 位次359
普通历史: 533分以上分, 位次1297 | 普通物理: 559分以上分, 位次2204 | 体育历史: 475分以上分, 位次300 | 体育物理: 488分以上分, 位次367
普通历史: 532分以上分, 位次1329 | 普通物理: 558分以上分, 位次2263 | 体育历史: 474分以上分, 位次308 | 体育物理: 487分以上分, 位次373
普通历史: 531分以上分, 位次1364 | 普通物理: 557分以上分, 位次2331 | 体育历史: 473分以上分, 位次310 | 体育物理: 486分以上分, 位次378
普通历史: 530分以上分, 位次1382 | 普通物理: 556分以上分, 位次2401 | 体育历史: 472分以上分, 位次314 | 体育物理: 485分以上分, 位次382
普通历史: 529分以上分, 位次1420 | 普通物理: 555分以上分, 位次2448 | 体育历史: 471分以上分, 位次317 | 体育物理: 484分以上分, 位次387
普通历史: 528分以上分, 位次1448 | 普通物理: 554分以上分, 位次2493 | 体育历史: 470分以上分, 位次319 | 体育物理: 483分以上分, 位次392
普通历史: 527分以上分, 位次1477 | 普通物理: 553分以上分, 位次2553 | 体育历史: 469分以上分, 位次322 | 体育物理: 482分以上分, 位次397
普通历史: 526分以上分, 位次1505 | 普通物理: 552分以上分, 位次2608 | 体育历史: 468分以上分, 位次329 | 体育物理: 481分以上分, 位次403
普通历史: 525分以上分, 位次1529 | 普通物理: 551分以上分, 位次2670 | 体育历史: 467分以上分, 位次334 | 体育物理: 480分以上分, 位次408
普通历史: 524分以上分, 位次1557 | 普通物理: 550分以上分, 位次2743 | 体育历史: 466分以上分, 位次340 | 体育物理: 479分以上分, 位次414
普通历史: 523分以上分, 位次1597 | 普通物理: 549分以上分, 位次2818 | 体育历史: 465分以上分, 位次345 | 体育物理: 478分以上分, 位次418
普通历史: 522分以上分, 位次1627 | 普通物理: 548分以上分, 位次2876 | 体育历史: 464分以上分, 位次348 | 体育物理: 477分以上分, 位次424
普通历史: 521分以上分, 位次1705 | 普通物理: 547分以上分, 位次2939 | 体育历史: 463分以上分, 位次351 | 体育物理: 476分以上分, 位次431
普通物理: 546分以上分, 位次2999 | 体育历史: 462分以上分, 位次358 | 体育物理: 475分以上分, 位次436
普通历史: 519分以上分, 位次1739 | 普通物理: 545分以上分, 位次3072 | 体育历史: 461分以上分, 位次363 | 体育物理: 474分以上分, 位次440
普通历史: 518分以上分, 位次1770 | 普通物理: 544分以上分, 位次3134 | 体育历史: 460分以上分, 位次375 | 体育物理: 473分以上分, 位次445
普通历史: 517分以上分, 位次1803 | 普通物理: 543分以上分, 位次3199 | 体育历史: 459分以上分, 位次371 | 体育物理: 472分以上分, 位次450
普通历史: 516分以上分, 位次1842 | 普通物理: 542分以上分, 位次3265 | 体育历史: 458分以上分, 位次376 | 体育物理: 471分以上分, 位次457
普通历史: 515分以上分, 位次1871 | 普通物理: 541分以上分, 位次3342 | 体育历史: 457分以上分, 位次379 | 体育物理: 470分以上分, 位次462
普通历史: 514分以上分, 位次1921 | 普通物理: 540分以上分, 位次3409 | 体育历史: 456分以上分, 位次381 | 体育物理: 469分以上分, 位次500
普通历史: 513分以上分, 位次1953 | 普通物理: 539分以上分, 位次3475 | 体育历史: 455分以上分, 位次383 | 体育物理: 468分以上分, 位次467
普通历史: 512分以上分, 位次1979 | 普通物理: 538分以上分, 位次3559 | 体育历史: 454分以上分, 位次388 | 体育物理: 467分以上分, 位次472
普通历史: 511分以上分, 位次2028 | 普通物理: 537分以上分, 位次3633 | 体育历史: 453分以上分, 位次393 | 体育物理: 466分以上分, 位次478
普通历史: 510分以上分, 位次2075 | 普通物理: 536分以上分, 位次3701 | 体育历史: 452分以上分, 位次403 | 体育物理: 465分以上分, 位次486
普通历史: 509分以上分, 位次2120 | 普通物理: 535分以上分, 位次3774 | 体育历史: 451分以上分, 位次408 | 体育物理: 464分以上分, 位次493
普通历史: 508分以上分, 位次2157 | 普通物理: 534分以上分, 位次3844 | 体育历史: 450分以上分, 位次410 | 体育物理: 463分以上分, 位次500
普通历史: 507分以上分, 位次2210 | 普通物理: 533分以上分, 位次3926 | 体育历史: 449分以上分, 位次416 | 体育物理: 462分以上分, 位次507
普通历史: 506分以上分, 位次2254 | 普通物理: 532分以上分, 位次3997 | 体育历史: 448分以上分, 位次417 | 体育物理: 461分以上分, 位次513
普通历史: 505分以上分, 位次2286 | 普通物理: 531分以上分, 位次4082 | 体育历史: 447分以上分, 位次421 | 体育物理: 460分以上分, 位次516
普通历史: 504分以上分, 位次2332 | 普通物理: 530分以上分, 位次4181 | 体育历史: 446分以上分, 位次430 | 体育物理: 459分以上分, 位次519
普通历史: 503分以上分, 位次2375 | 普通物理: 529分以上分, 位次4265 | 体育历史: 445分以上分, 位次433 | 体育物理: 458分以上分, 位次524
普通历史: 502分以上分, 位次2411 | 普通物理: 528分以上分, 位次4345 | 体育历史: 444分以上分, 位次437 | 体育物理: 457分以上分, 位次530
普通历史: 501分以上分, 位次2452 | 普通物理: 527分以上分, 位次4435 | 体育历史: 443分以上分, 位次440 | 体育物理: 456分以上分, 位次536
普通历史: 500分以上分, 位次2504 | 普通物理: 526分以上分, 位次4529 | 体育历史: 442分以上分, 位次450 | 体育物理: 455分以上分, 位次540
普通历史: 499分以上分, 位次2553 | 普通物理: 525分以上分, 位次4613 | 体育历史: 441分以上分, 位次451 | 体育物理: 454分以上分, 位次546
普通历史: 498分以上分, 位次2597 | 普通物理: 524分以上分, 位次4704 | 体育历史: 440分以上分, 位次455 | 体育物理: 453分以上分, 位次556
普通历史: 497分以上分, 位次2646 | 普通物理: 523分以上分, 位次4775 | 体育历史: 439分以上分, 位次458 | 体育物理: 452分以上分, 位次558
普通历史: 496分以上分, 位次2686 | 普通物理: 522分以上分, 位次4866 | 体育历史: 438分以上分, 位次462 | 体育物理: 451分以上分, 位次564
普通历史: 495分以上分, 位次2723 | 普通物理: 521分以上分, 位次4947 | 体育历史: 437分以上分, 位次466 | 体育物理: 450分以上分, 位次567
普通历史: 494分以上分, 位次2771 | 普通物理: 520分以上分, 位次5043 | 体育历史: 436分以上分, 位次472 | 体育物理: 449分以上分, 位次572
普通历史: 493分以上分, 位次2834 | 普通物理: 519分以上分, 位次5133 | 体育历史: 435分以上分, 位次478 | 体育物理: 448分以上分, 位次575
普通历史: 492分以上分, 位次2875 | 普通物理: 518分以上分, 位次5219 | 体育历史: 434分以上分, 位次474 | 体育物理: 447分以上分, 位次581
普通历史: 491分以上分, 位次2930 | 普通物理: 517分以上分, 位次5306 | 体育历史: 433分以上分, 位次484 | 体育物理: 446分以上分, 位次583
普通历史: 490分以上分, 位次2975 | 普通物理: 516分以上分, 位次5404 | 体育历史: 432分以上分, 位次485 | 体育物理: 445分以上分, 位次588
普通历史: 489分以上分, 位次3033 | 普通物理: 515分以上分, 位次5501 | 体育历史: 431分以上分, 位次521 | 体育物理: 444分以上分, 位次590
普通历史: 488分以上分, 位次3083 | 普通物理: 514分以上分, 位次5535 | 体育历史: 430分以上分, 位次492 | 体育物理: 443分以上分, 位次594
普通历史: 487分以上分, 位次3137 | 普通物理: 513分以上分, 位次5632 | 体育历史: 429分以上分, 位次494 | 体育物理: 442分以上分, 位次605
普通历史: 486分以上分, 位次3194 | 普通物理: 512分以上分, 位次5750 | 体育历史: 428分以上分, 位次498 | 体育物理: 441分以上分, 位次612
普通历史: 485分以上分, 位次3234 | 普通物理: 511分以上分, 位次5853 | 体育历史: 427分以上分, 位次501 | 体育物理: 440分以上分, 位次616
普通历史: 484分以上分, 位次3293 | 普通物理: 510分以上分, 位次5950 | 体育历史: 426分以上分, 位次503 | 体育物理: 439分以上分, 位次622
普通历史: 483分以上分, 位次3354 | 普通物理: 509分以上分, 位次6058 | 体育历史: 425分以上分, 位次507 | 体育物理: 438分以上分, 位次625
普通历史: 482分以上分, 位次3415 | 普通物理: 508分以上分, 位次6151 | 体育历史: 424分以上分, 位次510 | 体育物理: 437分以上分, 位次631
普通历史: 481分以上分, 位次3469 | 普通物理: 507分以上分, 位次6272 | 体育历史: 423分以上分, 位次515 | 体育物理: 436分以上分, 位次637
普通历史: 480分以上分, 位次3528 | 普通物理: 506分以上分, 位次6378 | 体育物理: 435分以上分, 位次643
普通历史: 479分以上分, 位次3600 | 普通物理: 505分以上分, 位次6482 | 体育历史: 421分以上分, 位次527 | 体育物理: 434分以上分, 位次649
普通历史: 478分以上分, 位次3660 | 普通物理: 504分以上分, 位次6589 | 体育历史: 420分以上分, 位次539 | 体育物理: 433分以上分, 位次650
普通历史: 477分以上分, 位次3774 | 普通物理: 503分以上分, 位次6715 | 体育历史: 419分以上分, 位次532 | 体育物理: 432分以上分, 位次656
普通历史: 476分以上分, 位次3838 | 普通物理: 502分以上分, 位次6817 | 体育历史: 418分以上分, 位次535 | 体育物理: 431分以上分, 位次658
普通历史: 475分以上分, 位次3908 | 普通物理: 501分以上分, 位次6944 | 体育历史: 417分以上分, 位次543 | 体育物理: 430分以上分, 位次661
普通历史: 474分以上分, 位次3966 | 普通物理: 500分以上分, 位次7060 | 体育历史: 416分以上分, 位次548 | 体育物理: 429分以上分, 位次668
普通历史: 473分以上分, 位次4028 | 普通物理: 499分以上分, 位次7185 | 体育历史: 415分以上分, 位次545 | 体育物理: 428分以上分, 位次672
普通历史: 472分以上分, 位次4079 | 普通物理: 498分以上分, 位次7300 | 体育历史: 414分以上分, 位次553 | 体育物理: 427分以上分, 位次679
普通历史: 471分以上分, 位次4138 | 普通物理: 497分以上分, 位次7385 | 体育历史: 413分以上分, 位次557 | 体育物理: 426分以上分, 位次686
